1775986973.070226 server started (521): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1775986973.070241 on Linux 6.6.87.1-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Mon Apr 21 17:08:54 UTC 2025
1775986973.070246 using libevent 2.1.12-stable poll
1775986973.070247 using ncurses 6.4 20240113
1775986973.070336 input_key_build: 0x10e1b8 (KP3) is 3
1775986973.070337 input_key_build: 0x10e1b9 (KPEnter) is \n
1775986973.070338 input_key_build: 0x10e1ba (KP0) is 0
1775986973.070340 input_key_build: 0x10e1bb (KP.) is .
1775986973.070341 input_key_build: 0x200000000009 (C-Tab) is \t
1775986973.070342 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1775986973.070343 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1775986973.070344 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1775986973.070346 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1775986973.070347 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1775986973.070348 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1775986973.070349 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1775986973.070350 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1775986973.070351 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1775986973.070353 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1775986973.070354 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1775986973.070355 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1775986973.070356 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
1775986973.070357 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1775986973.070362 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1775986973.070363 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
1775986973.070364 input_key_build: 0x20000010e1a5 (C-NPage) is \033[6;5~
1775986973.070365 input_key_build: 0x20000010e1a6 (C-PPage) is \033[5;5~
1775986973.070366 input_key_build: 0x20000010e1a8 (C-Up) is \033[1;5A
1775986973.070395 input_key_build: 0x20000010e1a9 (C-Down) is \033[1;5B
1775986973.070397 input_key_build: 0x20000010e1aa (C-Left) is \033[1;5D
1775986973.070398 input_key_build: 0x20000010e1ab (C-Right) is \033[1;5C
1775986973.070399 input_key_build: 0x40000010e195 (S-F1) is \033[1;2P
1775986973.070400 input_key_build: 0x40000010e196 (S-F2) is \033[1;2Q
1775986973.070402 input_key_build: 0x40000010e197 (S-F3) is \033[1;2R
1775986973.070403 input_key_build: 0x40000010e198 (S-F4) is \033[1;2S
1775986973.070404 input_key_build: 0x40000010e199 (S-F5) is \033[15;2~
1775986973.070405 input_key_build: 0x40000010e19a (S-F6) is \033[17;2~
1775986973.070406 input_key_build: 0x40000010e19b (S-F7) is \033[18;2~
1775986973.070407 input_key_build: 0x40000010e19c (S-F8) is \033[19;2~
1775986973.070408 input_key_build: 0x40000010e19d (S-F9) is \033[20;2~
1775986973.070410 input_key_build: 0x40000010e19e (S-F10) is \033[21;2~
1775986973.070411 input_key_build: 0x40000010e19f (S-F11) is \033[23;2~
1775986973.070412 input_key_build: 0x40000010e1a0 (S-F12) is \033[24;2~
1775986973.070413 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1775986973.070415 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1775986973.070416 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1775986973.070417 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1775986973.070418 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1775986973.070419 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1775986973.070420 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1775986973.070422 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1775986973.070423 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1775986973.070424 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1775986973.070425 input_key_build: 0x600000000009 (C-S-Tab) is \033[Z
1775986973.070426 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
1775986973.070428 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1775986973.070429 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1775986973.070430 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1775986973.070431 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1775986973.070432 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1775986973.070434 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1775986973.070435 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
1775986973.070436 input_key_build: 0x60000010e19d (C-S-F9) is \033[20;6~
1775986973.070437 input_key_build: 0x60000010e19e (C-S-F10) is \033[21;6~
1775986973.070438 input_key_build: 0x60000010e19f (C-S-F11) is \033[23;6~
1775986973.070440 input_key_build: 0x60000010e1a0 (C-S-F12) is \033[24;6~
1775986973.070441 input_key_build: 0x60000010e1a1 (C-S-IC) is \033[2;6~
1775986973.070442 input_key_build: 0x60000010e1a2 (C-S-DC) is \033[3;6~
1775986973.070443 input_key_build: 0x60000010e1a3 (C-S-Home) is \033[1;6H
1775986973.070444 input_key_build: 0x60000010e1a4 (C-S-End) is \033[1;6F
1775986973.070446 input_key_build: 0x60000010e1a5 (C-S-NPage) is \033[6;6~
1775986973.070447 input_key_build: 0x60000010e1a6 (C-S-PPage) is \033[5;6~
1775986973.070448 input_key_build: 0x60000010e1a8 (C-S-Up) is \033[1;6A
1775986973.070449 input_key_build: 0x60000010e1a9 (C-S-Down) is \033[1;6B
1775986973.070451 input_key_build: 0x60000010e1aa (C-S-Left) is \033[1;6D
1775986973.070452 input_key_build: 0x60000010e1ab (C-S-Right) is \033[1;6C
1775986973.070453 input_key_build: 0x200000010e1ac (KP/[K]) is \033Oo
1775986973.070457 input_key_build: 0x200000010e1ad (KP*[K]) is \033Oj
1775986973.070458 input_key_build: 0x200000010e1ae (KP-[K]) is \033Om
1775986973.070459 input_key_build: 0x200000010e1af (KP7[K]) is \033Ow
1775986973.070460 input_key_build: 0x200000010e1b0 (KP8[K]) is \033Ox
1775986973.070462 input_key_build: 0x200000010e1b1 (KP9[K]) is \033Oy
1775986973.070463 input_key_build: 0x200000010e1b2 (KP+[K]) is \033Ok
1775986973.070464 input_key_build: 0x200000010e1b3 (KP4[K]) is \033Ot
1775986973.070465 input_key_build: 0x200000010e1b4 (KP5[K]) is \033Ou
1775986973.070469 input_key_build: 0x200000010e1b5 (KP6[K]) is \033Ov
1775986973.070470 input_key_build: 0x200000010e1b6 (KP1[K]) is \033Oq
1775986973.070471 input_key_build: 0x200000010e1b7 (KP2[K]) is \033Or
1775986973.070473 input_key_build: 0x200000010e1b8 (KP3[K]) is \033Os
1775986973.070474 input_key_build: 0x200000010e1b9 (KPEnter[K]) is \033OM
1775986973.070475 input_key_build: 0x200000010e1ba (KP0[K]) is \033Op
1775986973.070476 input_key_build: 0x200000010e1bb (KP.[K]) is \033On
1775986973.070478 input_key_build: 0x400000010e1a8 (Up[C]) is \033OA
1775986973.070479 input_key_build: 0x400000010e1a9 (Down[C]) is \033OB
1775986973.070480 input_key_build: 0x400000010e1aa (Left[C]) is \033OD
1775986973.070481 input_key_build: 0x400000010e1ab (Right[C]) is \033OC
1775986973.070483 input_key_build: 0x810000010e195 (M-F1[I]) is \033[1;3P
1775986973.070484 input_key_build: 0x810000010e196 (M-F2[I]) is \033[1;3Q
1775986973.070485 input_key_build: 0x810000010e197 (M-F3[I]) is \033[1;3R
1775986973.070486 input_key_build: 0x810000010e198 (M-F4[I]) is \033[1;3S
1775986973.070488 input_key_build: 0x810000010e199 (M-F5[I]) is \033[15;3~
1775986973.070489 input_key_build: 0x810000010e19a (M-F6[I]) is \033[17;3~
1775986973.070490 input_key_build: 0x810000010e19b (M-F7[I]) is \033[18;3~
1775986973.070491 input_key_build: 0x810000010e19c (M-F8[I]) is \033[19;3~
1775986973.070493 input_key_build: 0x810000010e19d (M-F9[I]) is \033[20;3~
1775986973.070494 input_key_build: 0x810000010e19e (M-F10[I]) is \033[21;3~
1775986973.070495 input_key_build: 0x810000010e19f (M-F11[I]) is \033[23;3~
1775986973.070496 input_key_build: 0x810000010e1a0 (M-F12[I]) is \033[24;3~
1775986973.070498 input_key_build: 0x810000010e1a1 (M-IC[I]) is \033[2;3~
1775986973.070499 input_key_build: 0x810000010e1a2 (M-DC[I]) is \033[3;3~
1775986973.070500 input_key_build: 0x810000010e1a3 (M-Home[I]) is \033[1;3H
1775986973.070501 input_key_build: 0x810000010e1a4 (M-End[I]) is \033[1;3F
1775986973.070503 input_key_build: 0x810000010e1a5 (M-NPage[I]) is \033[6;3~
1775986973.070504 input_key_build: 0x810000010e1a6 (M-PPage[I]) is \033[5;3~
1775986973.070505 input_key_build: 0x810000010e1a8 (M-Up[I]) is \033[1;3A
1775986973.070506 input_key_build: 0x810000010e1a9 (M-Down[I]) is \033[1;3B
1775986973.070508 input_key_build: 0x810000010e1aa (M-Left[I]) is \033[1;3D
1775986973.070509 input_key_build: 0x810000010e1ab (M-Right[I]) is \033[1;3C
1775986973.070510 input_key_build: 0x830000010e195 (C-M-F1[I]) is \033[1;7P
1775986973.070511 input_key_build: 0x830000010e196 (C-M-F2[I]) is \033[1;7Q
1775986973.070513 input_key_build: 0x830000010e197 (C-M-F3[I]) is \033[1;7R
1775986973.070514 input_key_build: 0x830000010e198 (C-M-F4[I]) is \033[1;7S
1775986973.070515 input_key_build: 0x830000010e199 (C-M-F5[I]) is \033[15;7~
1775986973.070517 input_key_build: 0x830000010e19a (C-M-F6[I]) is \033[17;7~
1775986973.070518 input_key_build: 0x830000010e19b (C-M-F7[I]) is \033[18;7~
1775986973.070519 input_key_build: 0x830000010e19c (C-M-F8[I]) is \033[19;7~
1775986973.070520 input_key_build: 0x830000010e19d (C-M-F9[I]) is \033[20;7~
1775986973.070522 input_key_build: 0x830000010e19e (C-M-F10[I]) is \033[21;7~
1775986973.070523 input_key_build: 0x830000010e19f (C-M-F11[I]) is \033[23;7~
1775986973.070524 input_key_build: 0x830000010e1a0 (C-M-F12[I]) is \033[24;7~
1775986973.070526 input_key_build: 0x830000010e1a1 (C-M-IC[I]) is \033[2;7~
1775986973.070527 input_key_build: 0x830000010e1a2 (C-M-DC[I]) is \033[3;7~
1775986973.070528 input_key_build: 0x830000010e1a3 (C-M-Home[I]) is \033[1;7H
1775986973.070531 input_key_build: 0x830000010e1a4 (C-M-End[I]) is \033[1;7F
1775986973.070532 input_key_build: 0x830000010e1a5 (C-M-NPage[I]) is \033[6;7~
1775986973.070534 input_key_build: 0x830000010e1a6 (C-M-PPage[I]) is \033[5;7~
1775986973.070535 input_key_build: 0x830000010e1a8 (C-M-Up[I]) is \033[1;7A
1775986973.070536 input_key_build: 0x830000010e1a9 (C-M-Down[I]) is \033[1;7B
1775986973.070537 input_key_build: 0x830000010e1aa (C-M-Left[I]) is \033[1;7D
1775986973.070539 input_key_build: 0x830000010e1ab (C-M-Right[I]) is \033[1;7C
1775986973.070542 input_key_build: 0x850000010e195 (M-S-F1[I]) is \033[1;4P
1775986973.070543 input_key_build: 0x850000010e196 (M-S-F2[I]) is \033[1;4Q
1775986973.070544 input_key_build: 0x850000010e197 (M-S-F3[I]) is \033[1;4R
1775986973.070546 input_key_build: 0x850000010e198 (M-S-F4[I]) is \033[1;4S
1775986973.070547 input_key_build: 0x850000010e199 (M-S-F5[I]) is \033[15;4~
1775986973.070548 input_key_build: 0x850000010e19a (M-S-F6[I]) is \033[17;4~
1775986973.070549 input_key_build: 0x850000010e19b (M-S-F7[I]) is \033[18;4~
1775986973.070551 input_key_build: 0x850000010e19c (M-S-F8[I]) is \033[19;4~
1775986973.070552 input_key_build: 0x850000010e19d (M-S-F9[I]) is \033[20;4~
1775986973.070553 input_key_build: 0x850000010e19e (M-S-F10[I]) is \033[21;4~
1775986973.070555 input_key_build: 0x850000010e19f (M-S-F11[I]) is \033[23;4~
1775986973.070556 input_key_build: 0x850000010e1a0 (M-S-F12[I]) is \033[24;4~
1775986973.070557 input_key_build: 0x850000010e1a1 (M-S-IC[I]) is \033[2;4~
1775986973.070558 input_key_build: 0x850000010e1a2 (M-S-DC[I]) is \033[3;4~
1775986973.070560 input_key_build: 0x850000010e1a3 (M-S-Home[I]) is \033[1;4H
1775986973.070561 input_key_build: 0x850000010e1a4 (M-S-End[I]) is \033[1;4F
1775986973.070562 input_key_build: 0x850000010e1a5 (M-S-NPage[I]) is \033[6;4~
1775986973.070563 input_key_build: 0x850000010e1a6 (M-S-PPage[I]) is \033[5;4~
1775986973.070565 input_key_build: 0x850000010e1a8 (M-S-Up[I]) is \033[1;4A
1775986973.070566 input_key_build: 0x850000010e1a9 (M-S-Down[I]) is \033[1;4B
1775986973.070567 input_key_build: 0x850000010e1aa (M-S-Left[I]) is \033[1;4D
1775986973.070568 input_key_build: 0x850000010e1ab (M-S-Right[I]) is \033[1;4C
1775986973.070570 input_key_build: 0x870000010e195 (C-M-S-F1[I]) is \033[1;8P
1775986973.070571 input_key_build: 0x870000010e196 (C-M-S-F2[I]) is \033[1;8Q
1775986973.070572 input_key_build: 0x870000010e197 (C-M-S-F3[I]) is \033[1;8R
1775986973.070574 input_key_build: 0x870000010e198 (C-M-S-F4[I]) is \033[1;8S
1775986973.070575 input_key_build: 0x870000010e199 (C-M-S-F5[I]) is \033[15;8~
1775986973.070576 input_key_build: 0x870000010e19a (C-M-S-F6[I]) is \033[17;8~
1775986973.070578 input_key_build: 0x870000010e19b (C-M-S-F7[I]) is \033[18;8~
1775986973.070579 input_key_build: 0x870000010e19c (C-M-S-F8[I]) is \033[19;8~
1775986973.070580 input_key_build: 0x870000010e19d (C-M-S-F9[I]) is \033[20;8~
1775986973.070581 input_key_build: 0x870000010e19e (C-M-S-F10[I]) is \033[21;8~
1775986973.070583 input_key_build: 0x870000010e19f (C-M-S-F11[I]) is \033[23;8~
1775986973.070584 input_key_build: 0x870000010e1a0 (C-M-S-F12[I]) is \033[24;8~
1775986973.070585 input_key_build: 0x870000010e1a1 (C-M-S-IC[I]) is \033[2;8~
1775986973.070587 input_key_build: 0x870000010e1a2 (C-M-S-DC[I]) is \033[3;8~
1775986973.070588 input_key_build: 0x870000010e1a3 (C-M-S-Home[I]) is \033[1;8H
1775986973.070591 input_key_build: 0x870000010e1a4 (C-M-S-End[I]) is \033[1;8F
1775986973.070592 input_key_build: 0x870000010e1a5 (C-M-S-NPage[I]) is \033[6;8~
1775986973.070593 input_key_build: 0x870000010e1a6 (C-M-S-PPage[I]) is \033[5;8~
1775986973.070594 input_key_build: 0x870000010e1a8 (C-M-S-Up[I]) is \033[1;8A
1775986973.070596 input_key_build: 0x870000010e1a9 (C-M-S-Down[I]) is \033[1;8B
1775986973.070597 input_key_build: 0x870000010e1aa (C-M-S-Left[I]) is \033[1;8D
1775986973.070598 input_key_build: 0x870000010e1ab (C-M-S-Right[I]) is \033[1;8C
1775986973.070600 input_key_build: 0x40200000000009 (C-Tab[E]) is \033[9;5u
1775986973.070601 input_key_build: 0x40600000000009 (C-S-Tab[E]) is \033[1;5Z
1775986973.070610 yylex_token: end at WS
1775986973.070611 yylex_token: bind
1775986973.070613 yylex_token: end at WS
1775986973.070614 yylex_token: -N
1775986973.070616 yylex_token: end at WS
1775986973.070617 yylex_token: Send the prefix key
1775986973.070618 yylex_token: end at WS
1775986973.070619 yylex_token: C-b
1775986973.070620 yylex_token: end at WS
1775986973.070621 yylex_token: send-prefix
1775986973.070624 cmd_parse_build_commands 0:0: bind
1775986973.070628 cmd_parse_build_commands 0:1: -N
1775986973.070629 cmd_parse_build_commands 0:2: Send the prefix key
1775986973.070630 cmd_parse_build_commands 0:3: C-b
1775986973.070632 cmd_parse_build_commands 0:4 0:0: send-prefix
1775986973.070638 cmd_parse_build_commands 0:0: send-prefix
1775986973.070644 args_parse: flags end at 1 of 1
1775986973.070647 cmd_parse_build_commands: send-prefix
1775986973.070648 args_parse_flags: next -N
1775986973.070649 args_parse_flag_argument: -N = Send the prefix key
1775986973.070655 args_parse_flags: next C-b
1775986973.070656 args_parse: flags end at 3 of 5
1775986973.070657 args_parse: 3 = C-b (type STRING)
1775986973.070659 args_parse: 4 = send-prefix (type COMMANDS)
1775986973.071075 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1775986973.071082 cmdq_get_command: [bind-key/0x616815b10540] group 2
1775986973.071085 cmdq_append <global>: [bind-key/0x616815b10540]
1775986973.071087 yylex_token: end at WS
1775986973.071088 yylex_token: bind
1775986973.071090 yylex_token: end at WS
1775986973.071091 yylex_token: -N
1775986973.071093 yylex_token: end at WS
1775986973.071094 yylex_token: Rotate through the panes
1775986973.071095 yylex_token: end at WS
1775986973.071096 yylex_token: C-o
1775986973.071098 yylex_token: end at WS
1775986973.071099 yylex_token: rotate-window
1775986973.071101 cmd_parse_build_commands 0:0: bind
1775986973.071102 cmd_parse_build_commands 0:1: -N
1775986973.071104 cmd_parse_build_commands 0:2: Rotate through the panes
1775986973.071105 cmd_parse_build_commands 0:3: C-o
1775986973.071106 cmd_parse_build_commands 0:4 0:0: rotate-window
1775986973.071109 cmd_parse_build_commands 0:0: rotate-window
1775986973.071112 args_parse: flags end at 1 of 1
1775986973.071114 cmd_parse_build_commands: rotate-window
1775986973.071115 args_parse_flags: next -N
1775986973.071117 args_parse_flag_argument: -N = Rotate through the panes
1775986973.071118 args_parse_flags: next C-o
1775986973.071119 args_parse: flags end at 3 of 5
1775986973.071120 args_parse: 3 = C-o (type STRING)
1775986973.071122 args_parse: 4 = rotate-window (type COMMANDS)
1775986973.071126 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1775986973.071128 cmdq_get_command: [bind-key/0x616815b10ae0] group 10
1775986973.071129 cmdq_append <global>: [bind-key/0x616815b10ae0]
1775986973.071131 yylex_token: end at WS
1775986973.071132 yylex_token: bind
1775986973.071133 yylex_token: end at WS
1775986973.071134 yylex_token: -N
1775986973.071136 yylex_token: end at WS
1775986973.071137 yylex_token: Suspend the current client
1775986973.071138 yylex_token: end at WS
1775986973.071139 yylex_token: C-z
1775986973.071141 yylex_token: end at WS
1775986973.071142 yylex_token: suspend-client
1775986973.071143 cmd_parse_build_commands 0:0: bind
1775986973.071144 cmd_parse_build_commands 0:1: -N
1775986973.071146 cmd_parse_build_commands 0:2: Suspend the current client
1775986973.071147 cmd_parse_build_commands 0:3: C-z
1775986973.071148 cmd_parse_build_commands 0:4 0:0: suspend-client
1775986973.071150 cmd_parse_build_commands 0:0: suspend-client
1775986973.071154 args_parse: flags end at 1 of 1
1775986973.071155 cmd_parse_build_commands: suspend-client
1775986973.071156 args_parse_flags: next -N
1775986973.071158 args_parse_flag_argument: -N = Suspend the current client
1775986973.071159 args_parse_flags: next C-z
1775986973.071160 args_parse: flags end at 3 of 5
1775986973.071161 args_parse: 3 = C-z (type STRING)
1775986973.071194 args_parse: 4 = suspend-client (type COMMANDS)
1775986973.071201 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1775986973.071203 cmdq_get_command: [bind-key/0x616815b11ad0] group 18
1775986973.071205 cmdq_append <global>: [bind-key/0x616815b11ad0]
1775986973.071207 yylex_token: end at WS
1775986973.071208 yylex_token: bind
1775986973.071209 yylex_token: end at WS
1775986973.071210 yylex_token: -N
1775986973.071212 yylex_token: end at WS
1775986973.071213 yylex_token: Select next layout
1775986973.071220 yylex_token: end at WS
1775986973.071221 yylex_token: Space
1775986973.071222 yylex_token: end at WS
1775986973.071223 yylex_token: next-layout
1775986973.071225 cmd_parse_build_commands 0:0: bind
1775986973.071227 cmd_parse_build_commands 0:1: -N
1775986973.071228 cmd_parse_build_commands 0:2: Select next layout
1775986973.071229 cmd_parse_build_commands 0:3: Space
1775986973.071230 cmd_parse_build_commands 0:4 0:0: next-layout
1775986973.071232 cmd_parse_build_commands 0:0: next-layout
1775986973.071235 args_parse: flags end at 1 of 1
1775986973.071236 cmd_parse_build_commands: next-layout
1775986973.071237 args_parse_flags: next -N
1775986973.071239 args_parse_flag_argument: -N = Select next layout
1775986973.071240 args_parse_flags: next Space
1775986973.071241 args_parse: flags end at 3 of 5
1775986973.071242 args_parse: 3 = Space (type STRING)
1775986973.071244 args_parse: 4 = next-layout (type COMMANDS)
1775986973.071247 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1775986973.071249 cmdq_get_command: [bind-key/0x616815b122c0] group 26
1775986973.071250 cmdq_append <global>: [bind-key/0x616815b122c0]
1775986973.071252 yylex_token: end at WS
1775986973.071253 yylex_token: bind
1775986973.071254 yylex_token: end at WS
1775986973.071255 yylex_token: -N
1775986973.071257 yylex_token: end at WS
1775986973.071258 yylex_token: Break pane to a new window
1775986973.071259 yylex_token: end at WS
1775986973.071260 yylex_token: !
1775986973.071261 yylex_token: end at WS
1775986973.071262 yylex_token: break-pane
1775986973.071264 cmd_parse_build_commands 0:0: bind
1775986973.071265 cmd_parse_build_commands 0:1: -N
1775986973.071266 cmd_parse_build_commands 0:2: Break pane to a new window
1775986973.071267 cmd_parse_build_commands 0:3: !
1775986973.071269 cmd_parse_build_commands 0:4 0:0: break-pane
1775986973.071270 cmd_parse_build_commands 0:0: break-pane
1775986973.071272 args_parse: flags end at 1 of 1
1775986973.071273 cmd_parse_build_commands: break-pane
1775986973.071274 args_parse_flags: next -N
1775986973.071276 args_parse_flag_argument: -N = Break pane to a new window
1775986973.071277 args_parse_flags: next !
1775986973.071278 args_parse: flags end at 3 of 5
1775986973.071279 args_parse: 3 = ! (type STRING)
1775986973.071280 args_parse: 4 = break-pane (type COMMANDS)
1775986973.071284 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1775986973.071285 cmdq_get_command: [bind-key/0x616815b129d0] group 34
1775986973.071287 cmdq_append <global>: [bind-key/0x616815b129d0]
1775986973.071289 yylex_token: end at WS
1775986973.071289 yylex_token: bind
1775986973.071290 yylex_token: end at WS
1775986973.071291 yylex_token: -N
1775986973.071293 yylex_token: end at WS
1775986973.071294 yylex_token: Split window vertically
1775986973.071295 yylex_token: end at WS
1775986973.071296 yylex_token: "
1775986973.071297 yylex_token: end at WS
1775986973.071298 yylex_token: split-window
1775986973.071300 cmd_parse_build_commands 0:0: bind
1775986973.071301 cmd_parse_build_commands 0:1: -N
1775986973.071302 cmd_parse_build_commands 0:2: Split window vertically
1775986973.071303 cmd_parse_build_commands 0:3: "
1775986973.071304 cmd_parse_build_commands 0:4 0:0: split-window
1775986973.071306 cmd_parse_build_commands 0:0: split-window
1775986973.071308 args_parse: flags end at 1 of 1
1775986973.071310 cmd_parse_build_commands: split-window
1775986973.071311 args_parse_flags: next -N
1775986973.071312 args_parse_flag_argument: -N = Split window vertically
1775986973.071313 args_parse_flags: next "
1775986973.071314 args_parse: flags end at 3 of 5
1775986973.071315 args_parse: 3 = " (type STRING)
1775986973.071317 args_parse: 4 = split-window (type COMMANDS)
1775986973.071320 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1775986973.071322 cmdq_get_command: [bind-key/0x616815b0e1a0] group 42
1775986973.071323 cmdq_append <global>: [bind-key/0x616815b0e1a0]
1775986973.071325 yylex_token: end at WS
1775986973.071329 yylex_token: bind
1775986973.071330 yylex_token: end at WS
1775986973.071331 yylex_token: -N
1775986973.071333 yylex_token: end at WS
1775986973.071334 yylex_token: List all paste buffers
1775986973.071335 yylex_token: end at WS
1775986973.071336 yylex_token: #
1775986973.071337 yylex_token: end at WS
1775986973.071338 yylex_token: list-buffers
1775986973.071339 cmd_parse_build_commands 0:0: bind
1775986973.071341 cmd_parse_build_commands 0:1: -N
1775986973.071342 cmd_parse_build_commands 0:2: List all paste buffers
1775986973.071343 cmd_parse_build_commands 0:3: #
1775986973.071344 cmd_parse_build_commands 0:4 0:0: list-buffers
1775986973.071346 cmd_parse_build_commands 0:0: list-buffers
1775986973.071348 args_parse: flags end at 1 of 1
1775986973.071349 cmd_parse_build_commands: list-buffers
1775986973.071350 args_parse_flags: next -N
1775986973.071351 args_parse_flag_argument: -N = List all paste buffers
1775986973.071352 args_parse_flags: next #
1775986973.071354 args_parse: flags end at 3 of 5
1775986973.071355 args_parse: 3 = # (type STRING)
1775986973.071356 args_parse: 4 = list-buffers (type COMMANDS)
1775986973.071359 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1775986973.071361 cmdq_get_command: [bind-key/0x616815b0eba0] group 50
1775986973.071362 cmdq_append <global>: [bind-key/0x616815b0eba0]
1775986973.071368 yylex_token: end at WS
1775986973.071369 yylex_token: bind
1775986973.071370 yylex_token: end at WS
1775986973.071371 yylex_token: -N
1775986973.071372 yylex_token: end at WS
1775986973.071373 yylex_token: Rename current session
1775986973.071374 yylex_token: end at WS
1775986973.071375 yylex_token: $
